"","X","Course.taken","Quarter","Grade.earned","numericalgrade","Last.quarter.of.attendance","Drop.date","Concurrent.GPA","Concurrent.credits.registered.for","Concurrent.credits.earned","COMPASS.Reading","COMPASS.Number.Skills","COMPASS.Elem.Alg","COMPASS.College.Alg","COMPASS.Trig","MAPS.score","FID"
"12062",12062,"MATH&142","B124","2.1",2.1,"B341","",2.1,15,5,99,NA,"",NA,"",NA,5776
"12063",12063,"MATH&141","B012","3.8",3.8,"B341","",2.93,15,15,86,NA,"90",37,"",NA,47
"12064",12064,"MATH&142","B013","2.4",2.4,"B341","",2.3,15,15,86,NA,"90",37,"",NA,47
"12065",12065,"MATH&151","B014","2",2,"B341","",2.92,12,12,86,NA,"90",37,"",NA,47
"12066",12066,"MATH072","B011","2",2,"B233","",2.5,12,12,89,NA,"28",NA,"",NA,4063
"12067",12067,"MATH072","B231","0",0,"B233","8/14/2012",0.8,10,5,89,NA,"28",NA,"",NA,4063
"12068",12068,"MATH072","B233","0",0,"B233","1/25/2013",0,5,0,89,NA,"28",NA,"",NA,4063
"12069",12069,"MATH&151","B012","3.9",3.9,"B124","",3.97,15,15,99,NA,"97",91,"96",NA,7780
"12070",12070,"MATH062","B014","3.4",3.4,"B234","",3.75,12,12,85,47,"16",NA,"",NA,9238
"12071",12071,"MATH070","B121","3.1",3.1,"B234","",3.15,12,12,85,47,"16",NA,"",NA,9238
"12072",12072,"MATH072","B233","0",0,"B234","1/10/2013",0,15,0,85,47,"16",NA,"",NA,9238
"12073",12073,"MATH072","B013","0",0,"B232","2/11/2011",0,15,0,86,NA,"39",NA,"",NA,2635
"12074",12074,"MATH072","B014","2.5",2.5,"B232","",0.83,15,5,86,NA,"39",NA,"",NA,2635
"12075",12075,"MATH097","B122","0",0,"B232","11/1/2011",0,12,0,86,NA,"39",NA,"",NA,2635
"12076",12076,"MATH&141","B012","4",4,"B124","",3.89,16,16,97,NA,"99",86,"78",NA,8299
"12077",12077,"MATH&142","B013","4",4,"B124","",3.83,16,16,97,NA,"99",86,"78",NA,8299
"12078",12078,"MATH&151","B122","3.6",3.6,"B124","",3.78,17,17,97,NA,"99",86,"78",NA,8299
"12079",12079,"MATH070","B012","3.8",3.8,"B234","",3.8,10,10,86,64,"19",NA,"",NA,8493
"12080",12080,"MATH&107","B012","2.8",2.8,"B014","",2.7,15,15,96,NA,"86",74,"",NA,3078
"12081",12081,"MATH&141","B012","2.5",2.5,"B232","",3.47,15,15,91,NA,"46",NA,"",NA,1823
"12082",12082,"MATH&142","B013","1",1,"B232","",2.22,16,16,91,NA,"46",NA,"",NA,1823
